,ext_ID,objID,specObjID,z,u_mag,g_mag,r_mag,i_mag,z_mag,w1mpro,w2mpro,w3mpro,w4mpro,o3_hB,n2_hA,s2_hA,o1_hA,o3_o2,ne3_o2,is_AGN,which_AGN,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,w1-w2,w1-w3,w1-w4,w2-w3,w2-w4,w3-w4
23,N_29_29,1237679253598765398,4.939347723176663e+18,0.2947206,21.29882,19.68605,18.04017,17.49897,17.1902,14.575,14.213,12.418,9.492,0.21851660191087255,0.12038175688605299,-0.16660412097910043,-1.1750321238685462,0.12702174498392024,-inf,1,8,1.6127699999999976,3.2586499999999994,3.7998499999999993,4.108619999999998,1.6458800000000018,2.1870800000000017,2.495850000000001,0.5411999999999999,0.849969999999999,0.3087699999999991,0.3620000000000001,2.157,5.082999999999998,1.795,4.720999999999998,2.9259999999999984
24,N_61_25,1237679440425910567,4.939356794147592e+18,0.6748673,21.95441,21.21457,21.10774,20.64748,20.46532,16.041,15.611,12.472,8.941,,,,,,,1,8,0.7398400000000009,0.8466699999999996,1.3069299999999977,1.489090000000001,0.10682999999999865,0.5670899999999968,0.74925,0.4602599999999981,0.6424200000000013,0.1821600000000032,0.4299999999999997,3.569000000000001,7.1,3.139000000000001,6.67,3.530999999999999
25,N_30_30,1237679253598699787,4.939360092682476e+18,2.652942,21.46906,20.56195,20.54738,20.42217,20.24227,17.272,16.637,12.337,8.856,,,,,,,1,8,0.9071099999999994,0.9216799999999985,1.0468899999999977,1.2267899999999976,0.014569999999999084,0.13977999999999824,0.3196799999999982,0.12520999999999916,0.3051099999999991,0.17989999999999995,0.634999999999998,4.934999999999999,8.415999999999999,4.300000000000001,7.781000000000001,3.481
26,N_29_28,1237679253598699823,4.939360917316196e+18,1.086405,21.1282,20.79663,20.63064,20.6682,20.17506,16.193,15.387,12.921,8.854,,,,,,,1,8,0.33156999999999925,0.49756,0.46000000000000085,0.9531400000000012,0.16599000000000075,0.1284300000000016,0.621570000000002,-0.03755999999999915,0.4555800000000012,0.49314000000000036,0.8060000000000009,3.272000000000002,7.339000000000002,2.466000000000001,6.533000000000001,4.067
27,N_51_35,1237679322862059886,4.939362566583638e+18,2.566251,21.71952,20.79809,20.74519,20.63904,20.44419,,,,,,,,,,,1,8,0.9214300000000009,0.9743299999999984,1.0804799999999979,1.2753300000000003,0.052899999999997505,0.15904999999999703,0.35389999999999944,0.10614999999999952,0.30100000000000193,0.1948500000000024,,,,,,
28,N_30_64,1237679253598699811,4.93936421585108e+18,2.236532,21.61626,21.09145,21.04677,20.88935,22.05262,,,,,,,,,,,1,8,0.5248100000000022,0.5694900000000018,0.7269100000000002,-0.4363600000000005,0.04467999999999961,0.20209999999999795,-0.9611700000000027,0.15741999999999834,-1.0058500000000024,-1.1632700000000007,,,,,,
29,N_62_27,1237679440425844886,4.939368888775498e+18,2.455683,20.63795,20.00312,19.89271,19.91122,19.66737,17.333,16.144,12.21,8.885,,,,,,,1,8,0.6348300000000009,0.745239999999999,0.7267299999999999,0.9705800000000018,0.11040999999999812,0.09189999999999898,0.3357500000000009,-0.018509999999999138,0.22534000000000276,0.2438500000000019,1.189,5.1229999999999976,8.447999999999999,3.9339999999999975,7.258999999999999,3.325000000000001
30,N_30_6,1237679322325123524,4.939371912432474e+18,2.755462,21.48016,21.01673,20.91707,20.90959,20.67983,,,,,,,,,,,1,8,0.46343000000000245,0.5630900000000025,0.57057,0.8003300000000024,0.09966000000000008,0.10713999999999757,0.3369,0.007479999999997489,0.2372399999999999,0.2297600000000024,,,,,,
31,N_30_13,1237679322325123490,4.939372187310381e+18,0.6432177,21.27448,20.70282,20.70385,20.49616,20.21465,16.113,15.46,12.87,8.969,,,,,,,1,8,0.5716600000000014,0.5706300000000013,0.7783200000000008,1.0598300000000016,-0.0010300000000000864,0.2066599999999994,0.4881700000000002,0.2076899999999995,0.4892000000000003,0.2815100000000008,0.6529999999999987,3.2430000000000003,7.144,2.5900000000000016,6.491000000000001,3.901
32,N_51_47,1237679254135505116,4.939380708525496e+18,2.726763,21.27925,20.44963,20.41585,20.49928,20.26708,,,,,,,,,,,1,8,0.829620000000002,0.8634000000000022,0.7799700000000023,1.0121700000000011,0.03378000000000014,-0.04964999999999975,0.1825499999999991,-0.0834299999999999,0.14876999999999896,0.23219999999999885,,,,,,
33,N_31_31,1237679253598568686,4.939388405106891e+18,1.928638,21.48124,21.30365,21.205,20.66142,20.53328,17.232,16.088,12.65,9.098,,,,,,,1,8,0.17758999999999858,0.2762400000000014,0.81982,0.9479599999999984,0.09865000000000279,0.6422300000000014,0.7703699999999998,0.5435799999999986,0.671719999999997,0.12813999999999837,1.1439999999999984,4.581999999999999,8.133999999999999,3.4380000000000006,6.99,3.5519999999999996
34,N_63_23,1237679321788055766,4.939391703641774e+18,0.9487621,21.4321,21.70202,21.30307,20.84944,20.31507,15.955,15.184,12.873,9.015,,,,,,,1,8,-0.2699200000000026,0.12902999999999665,0.5826599999999971,1.1170299999999997,0.39894999999999925,0.8525799999999997,1.3869500000000023,0.4536300000000004,0.9880000000000031,0.5343700000000027,0.7710000000000008,3.0820000000000007,6.9399999999999995,2.311,6.168999999999999,3.8579999999999988
35,N_50_5,1237679322861928668,4.939399675101075e+18,0.264271,22.11804,19.13127,17.59637,17.0663,16.73704,14.278,14.006,12.92,8.813,-0.36041099326253834,0.33586799573944565,-0.0522055993324228,-0.21108880534906166,-0.7898119377259231,-1.097937051900363,1,8,2.98677,4.52167,5.051740000000002,5.381,1.5349000000000004,2.0649700000000024,2.3942300000000003,0.530070000000002,0.8593299999999999,0.3292599999999979,0.27200000000000024,1.3580000000000005,5.465,1.0860000000000003,5.193,4.106999999999999
